rows,text,date,number,type
6,1,0,2,barPacked
324,0,1,1,stockLine
14,2,0,1,bar
1,1,0,0,bar
72,0,1,0,stockLine
31,0,1,0,stockLine
7,1,0,1,columnPacked
4,1,0,7,columnStacked
7,1,0,1,columnPacked
6,2,0,3,column
117,1,0,6,line
12837,0,1,1,stockSpline
8,1,0,2,spline
1,5,2,5,column
18,2,0,0,grid
4,1,0,2,columnPacked
8,1,0,2,barStacked
3,2,0,1,columnPacked
5,1,0,7,column
7,1,0,1,bar
230,0,0,8,dualAxis
7,1,0,1,columnPacked
10,1,0,2,line
3,1,0,25,line
9,1,0,1,barPacked
1,1,0,9,barPacked
7,1,0,1,line
5,1,0,0,columnPacked
71,0,0,3,line
17,1,0,0,columnPacked
57,1,0,1,line
96,0,1,2,line
4,1,0,4,grid
102,1,0,3,line
14,2,0,1,bar
6,1,0,0,columnPacked
14,0,1,1,stockLine
1,1,0,8,pie
10,4,0,0,grid
7,3,0,0,grid
11,4,0,0,grid
5,2,0,0,pie
5,0,0,2,column
835,0,1,2,stockLine
5,1,0,6,scatterLine
58,0,1,1,line
5,1,0,3,columnStacked
2,1,0,6,barPacked
3,1,0,1,columnPacked
2,1,0,2,columnPacked
7,1,0,5,column
16,1,0,2,grid
10,1,0,2,pie
10,1,0,2,grid
77,0,1,0,line
7,2,0,2,columnStacked
1,1,0,28,bar
37,4,0,1,bar
1,1,0,28,bar
15,2,0,2,grid
32,1,0,2,scatter
8,1,0,2,columnPacked
8,1,0,2,columnPacked
16,1,0,2,grid
7,7,0,0,grid
18,4,0,0,grid
6,1,0,0,columnStacked
12,1,0,1,bar
25,1,0,2,barPacked
11,1,0,2,barPacked
4,1,0,4,pie
8,1,0,4,dualAxis
10,1,0,1,bar
68,1,0,5,areaStacked
6,1,0,1,bar
49,1,0,1,line
12,1,0,1,barPacked
15,1,0,4,line
324,0,1,2,stockLine
1,1,0,3,pie
23,1,0,3,line
47,0,0,0,stockSpline
1,1,0,9,barStacked
11,1,0,1,bar
320,0,1,2,stockLine
5,1,0,3,barStacked
3,1,0,3,barStacked
6,1,0,3,column
3,1,0,2,column
3,1,0,5,column
47,1,0,0,line
277,0,1,1,stockLine
33,1,0,5,line
40,2,0,3,barStacked
26,1,0,2,pie
6,2,0,4,grid
6,3,0,0,grid
48,1,0,0,line
3,0,0,0,columnPacked
2,1,0,2,columnPacked
