rows,text,date,number,type
3,1,0,2,8
10,1,0,1,13
3,1,0,1,16
6,1,0,2,8
2,1,0,4,8
69,1,0,0,14
1,1,0,7,8
8,1,0,2,8
5,1,0,2,8
5,1,0,2,16
1,1,0,2,16
4,1,0,5,10
96,0,0,4,12
61,0,0,3,3
11,1,0,2,12
31,0,1,3,14
5,2,0,1,16
11,1,0,0,2
11,1,0,0,14
4,1,0,0,9
3,1,0,2,8
14,1,0,1,8
14,1,0,2,4
16,1,0,4,14
3,1,0,1,4
56,1,0,2,18
18,1,0,2,18
496,0,1,3,24
73,0,0,6,14
877,0,1,2,14
64,1,0,3,14
145,0,1,2,8
6,1,0,8,12
15,0,0,2,2
5,1,0,0,9
4,1,0,1,4
5,1,0,1,16
5,1,0,1,16
5,1,0,1,16
5,1,0,1,16
9,2,0,2,9
2,1,0,3,8
7,1,0,1,9
41,1,0,1,5
55,0,0,3,14
4,1,0,21,14
4,1,0,7,10
7,1,0,1,16
2,1,0,1,16
16,1,0,2,13
5,2,0,57,19
55,0,0,3,14
55,0,0,3,14
55,0,0,3,14
7,1,0,1,4
16,1,0,2,13
32,1,0,2,18
7,1,0,1,8
5,1,0,3,8
728,0,1,2,24
4,1,0,7,10
7,1,0,1,9
4,1,0,7,10
4,0,0,7,10
7,1,0,1,9
35,0,1,6,24
434,0,1,2,24
7,1,0,1,9
7,2,0,3,10
3679,0,1,10,24
6,2,0,3,16
4,1,0,7,10
6,2,0,3,19
18,4,0,0,13
1,1,0,28,4
10,2,0,1,16
20,1,0,1,4
28,1,0,2,4
22,1,0,4,14
27,1,0,0,14
5,1,0,0,8
75,1,0,0,14
5,1,0,2,4
49,1,0,5,14
4,1,0,1,8
8,0,0,0,14
7,1,0,4,13
20,1,0,1,4
12,1,0,1,4
8,1,0,2,2
85,1,0,5,2
38,1,0,1,15
1,1,0,6,8
13,2,0,0,13
55,0,0,3,4
7,1,0,2,9
6,1,0,3,8
13,1,0,3,8
3,1,0,1,9
18,1,0,3,8
7,2,0,2,9
7,1,0,1,9
48,0,1,2,14
7,1,0,1,9
3,1,0,1,14
8,1,0,2,10
55,0,0,3,14
8,1,0,2,18
44,0,1,2,14
4,1,0,3,10
11,4,0,0,13
1,1,0,2,4
7,1,0,1,4
116,1,0,3,14
7,1,0,1,4
3,1,0,25,14
30,1,0,2,1
3,1,0,25,14
69,0,1,1,18
121,0,1,20,25
49,0,1,20,20
2,1,0,2,9
25,1,0,3,14
41,1,0,2,14
22,1,0,2,12
451,0,1,2,23
49,1,0,2,14
1,1,0,5,16
9,1,0,1,5
12,1,0,0,5
19,1,0,1,14
13,1,0,4,14
15,1,0,0,5
1,1,0,8,16
10,1,0,1,1
30,0,1,6,24
13,1,0,2,14
24,1,0,2,14
6,1,0,2,5
324,0,1,1,24
14,2,0,1,4
1,1,0,0,4
72,0,1,0,24
31,0,1,0,24
7,1,0,1,9
4,1,0,7,10
7,1,0,1,9
6,2,0,3,8
117,1,0,6,14
12837,0,1,1,25
8,1,0,2,20
1,5,2,5,8
18,2,0,0,13
4,1,0,2,9
8,1,0,2,6
3,2,0,1,9
5,1,0,7,8
7,1,0,1,4
230,0,0,8,12
7,1,0,1,9
10,1,0,2,14
3,1,0,25,14
9,1,0,1,5
1,1,0,9,5
7,1,0,1,14
5,1,0,0,9
71,0,0,3,14
17,1,0,0,9
57,1,0,1,14
96,0,1,2,14
4,1,0,4,13
102,1,0,3,14
14,2,0,1,4
6,1,0,0,9
14,0,1,1,24
1,1,0,8,16
10,4,0,0,13
7,3,0,0,13
11,4,0,0,13
5,2,0,0,16
5,0,0,2,8
835,0,1,2,24
5,1,0,6,19
58,0,1,1,14
5,1,0,3,10
2,1,0,6,5
3,1,0,1,9
2,1,0,2,9
7,1,0,5,8
16,1,0,2,13
10,1,0,2,16
10,1,0,2,13
77,0,1,0,14
7,2,0,2,10
1,1,0,28,4
37,4,0,1,4
1,1,0,28,4
15,2,0,2,13
32,1,0,2,18
8,1,0,2,9
8,1,0,2,9
16,1,0,2,13
7,7,0,0,13
18,4,0,0,13
6,1,0,0,10
12,1,0,1,4
25,1,0,2,5
11,1,0,2,5
4,1,0,4,16
8,1,0,4,12
10,1,0,1,4
68,1,0,5,2
6,1,0,1,4
49,1,0,1,14
12,1,0,1,5
15,1,0,4,14
324,0,1,2,24
1,1,0,3,16
23,1,0,3,14
47,0,0,0,25
1,1,0,9,6
11,1,0,1,4
320,0,1,2,24
5,1,0,3,6
3,1,0,3,6
6,1,0,3,8
3,1,0,2,8
3,1,0,5,8
47,1,0,0,14
277,0,1,1,24
33,1,0,5,14
40,2,0,3,6
26,1,0,2,16
6,2,0,4,13
6,3,0,0,13
48,1,0,0,14
3,0,0,0,9
2,1,0,2,9
7,1,0,3,12
12,1,0,0,18
9,1,0,5,14
31,7,0,0,13
7,6,0,0,13
19,1,0,1,14
4,1,0,4,4
5,1,0,1,4
3,1,0,1,4
10,1,0,2,4
8,2,0,3,13
27,3,0,1,14
10,4,0,0,13
4,1,0,4,6
7,1,0,1,8
30,1,0,0,8
65,1,0,1,14
7,1,0,1,12
4,1,0,0,14
7,4,0,0,13
6,1,0,5,14
7,1,0,6,14
6,2,0,2,13
19,4,0,0,8
4,1,0,4,13
24,1,0,1,4
7,4,0,0,13
6,9,0,0,13
3,1,0,1,4
31,6,0,0,13
30,5,0,1,13
3,1,0,1,12
20,2,0,0,13
32,1,0,1,4
6,7,0,0,13
10,7,0,0,13
8,1,0,4,14
7,1,0,1,16
2,1,0,0,10
20,1,0,2,18
8,1,0,2,8
5,1,0,3,8
6,1,0,1,14
168,2,0,0,14
8,3,0,1,8
2,1,0,0,10
4,1,0,4,14
69,0,1,2,24
4,1,0,4,18
144,1,1,0,23
144,1,1,0,24
4,1,0,4,6
6,1,0,1,13
34,1,0,1,4
4,1,0,4,8
144,1,0,1,14
15,1,0,1,5
4,1,0,2,9
5,1,0,0,6
6,1,0,4,16
2,0,0,2,10
8,1,0,1,8
9,2,0,1,16
6,1,0,0,9
12,1,0,1,8
4,1,0,0,16
4,1,0,0,16
6,1,0,0,8
3,1,0,3,16
4,1,0,12,14
8,1,0,2,14
5,1,0,3,9
4,1,0,2,14
4,1,0,2,9
5,1,0,5,14
8,1,0,0,6
10,1,0,4,14
1,1,0,12,5
3,1,0,2,8
18,4,0,0,13
5,2,0,0,13
3,1,0,5,8
3,1,0,2,8
3679,0,1,0,24
4,1,0,4,13
5,2,0,2,16
2,2,0,2,16
13,1,0,1,8
10,0,0,0,8
23,1,0,1,4
6,1,0,0,21
15,1,0,2,1
4,1,0,4,8
41,1,0,2,12
167,2,0,2,18
1,1,0,50,14
37,4,0,0,13
13,3,0,0,13
8,1,0,2,14
12,2,0,3,6
32,2,0,1,4
55,0,0,3,14
16,1,0,1,14
2,1,0,1,16
4,0,0,3,12
9,1,0,1,8
7,1,0,1,9
3,1,0,1,16
55,0,0,3,14
18,1,0,2,17
67,1,0,1,8
54,0,1,4,14
16,1,0,2,13
7,1,0,1,9
4,1,0,30,14
4,1,0,50,2
8,1,0,2,10
3,1,0,10,14
53,1,0,4,14
11,1,0,0,4
2,1,0,1,8
7,1,0,1,9
4,0,0,0,14
5,1,0,1,8
2,1,0,2,9
2,2,0,0,9
3,1,0,0,14
4,1,0,2,9
5,1,0,0,9
13,1,0,0,9
5,1,0,1,16
6,1,0,2,9
4,1,0,2,9
3,1,0,4,14
3,1,0,3,14
8,1,0,0,9
27,1,0,0,4
12,10,0,0,13
5,1,0,1,8
4,1,0,3,8
6,1,0,1,8
10,3,0,0,13
15,2,0,1,13
3,3,0,0,13
3,3,0,0,13
4,3,0,0,13
42,0,0,0,8
24,1,0,0,6
3,1,0,5,9
4,2,0,2,8
642,1,0,6,14
5,1,0,1,4
9,1,0,10,2
6,1,0,2,8
10,1,0,0,14
11,0,0,0,14
4,2,0,2,4
1,1,0,2,4
1,1,0,3,4
1,1,0,3,4
4,2,0,3,4
1,1,0,3,4
1,1,0,3,4
1,1,0,3,4
1,1,0,3,4
1,1,0,2,4
6,2,0,0,16
1,1,0,7,9
6,2,0,3,8
20,1,0,1,4
1,1,0,6,8
60,0,0,2,14
7,1,0,1,9
21,1,0,2,17
21,1,0,2,17
2,0,0,5,5
67,3,0,4,14
3,1,0,3,8
3,1,0,2,8
7,1,0,7,6
4,1,0,7,20
16,1,0,6,10
10,1,0,6,14
11,1,0,2,12
4,2,0,3,4
280,0,1,1,14
79,0,1,1,8
88,0,1,1,22
62,0,1,1,24
10,1,0,1,13
8,3,0,0,13
16,1,0,2,13
443,0,1,1,22
2,1,0,0,4
63,0,1,6,24
1169,0,0,8,20
4,1,0,31,14
6,1,0,2,16
11,1,0,0,13
52,2,1,16,24
54,0,1,4,24
17,2,0,1,13
6,4,0,0,13
316,0,1,2,24
282,0,1,1,24
31,0,0,0,1
25,2,0,0,8
30,0,1,0,24
14,1,0,1,1
4,1,0,4,8
5,1,0,1,14
1,1,0,12,6
4,1,0,2,8
65,1,0,3,14
189,0,1,1,24
4,1,0,4,8
4,2,0,1,13
6,1,0,3,10
47,0,0,0,21
4,1,0,0,8
3,1,0,4,16
120,0,0,2,14
12,1,0,2,8
40,2,0,1,6
1,1,0,3,4
1,1,0,3,4
1,1,0,2,4
1,1,0,2,4
1,1,0,2,4
1,1,0,2,4
1,1,0,2,4
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
2,1,0,7,8
5,2,0,2,8
4,1,0,2,9
5,0,0,4,8
14,4,0,2,4
34,1,0,2,12
3,1,0,2,10
30,1,0,5,6
8,3,0,0,13
45,1,0,8,14
6,5,0,0,13
13,1,0,1,9
3,1,0,2,8
10,3,0,0,13
55,0,0,3,14
15,0,0,4,14
5,1,0,2,10
2,1,0,4,16
6,0,0,1,14
6,1,0,0,8
6,1,0,2,9
3,1,0,3,9
10,1,0,1,9
43,1,0,3,9
2,1,0,0,16
4,1,0,1,16
5,1,0,1,9
12,2,0,1,5
6,1,0,4,10
3,4,0,0,13
5,1,0,1,9
1,1,0,4,8
32,4,0,8,18
101,0,0,7,2
5,2,0,0,13
2,1,0,6,9
3,1,0,6,9
2,1,0,1,16
2,1,0,1,16
2,1,0,1,16
279,0,1,1,24
10,4,0,0,13
13,0,0,2,14
20,3,0,0,13
6,2,0,3,24
48,0,1,2,12
32,1,0,2,18
5,1,0,3,8
1,1,0,2,8
1,1,0,6,8
3,1,0,3,9
9,1,0,1,8
9,1,0,1,8
6,1,0,1,2
49,1,0,0,9
8,1,0,0,17
11,1,0,6,17
6,1,0,3,16
120,0,0,2,14
5,1,0,3,9
3,1,0,0,14
6,0,0,3,14
5,0,0,4,14
6,0,1,4,14
10,0,0,5,2
1,1,0,4,16
11,1,1,2,24
28,1,1,3,24
1,1,0,6,8
3,1,0,9,14
115,0,0,0,14
115,0,0,0,14
71,0,1,2,24
4,6,0,0,13
7,4,0,0,13
7,1,0,1,9
32,1,0,2,18
3679,0,1,10,7
8,1,0,2,14
15,1,0,2,18
3,2,0,1,11
264,1,0,3,7
5,1,0,10,10
18,1,0,2,17
32,1,0,2,7
7,1,0,1,9
2,1,0,32,8
4,4,0,0,13
13,4,0,0,13
8,1,0,4,10
6,2,0,0,13
1,1,0,2,8
4,1,0,0,16
11,1,0,0,16
105,1,0,2,14
8,2,0,0,8
7,2,0,1,8
5,1,0,2,9
37,4,0,0,13
4,1,0,2,18
8,1,0,1,8
1,1,0,5,16
4,0,0,0,14
2,1,0,3,8
4,1,0,2,16
1,1,0,2,16
2,1,0,4,8
1,1,0,9,14
1,1,0,3,9
7,1,0,1,16
9,1,0,2,5
4,1,0,3,5
5,2,0,2,4
4,2,0,4,13
5,1,0,1,8
13,1,0,3,13
29,2,0,1,13
